iter	Passed	Remaining
0	105	105094
1	107	53703
2	110	36774
3	124	31120
4	126	25261
5	129	21374
6	130	18533
7	133	16573
8	136	15079
9	139	13834
10	141	12742
11	143	11817
12	144	10976
13	14614	181	11946
15	183	11272
16	184	10693
17	187	10203
18	188	9736
19	207	10157
20	208	9734
21	210	9344
22	211	9003
23	213	8677
24	214	8384
25	218	8173
26	220	7955
27	222	7735
28	225	7539
29	228	7381
30	230	7218
31	233	7052
32	236	6924
33	239	6812
34	243	6703
35	254	6815
36	260	6788
37	262	6651
38	264	6515
39	266	6393
40	269	6314
41	270	6176
42	271	6044
43	272	5919
44	273	5800
45	274	5685
46	274	5575
47	275	5468
48	276	5374
49	283	5395
50	286	5327
51	287	5233
52	287	5143
53	288	5059
54	289	4975
55	257	286	4657
58	288	4593
59	322	5044
60	324	4989
61	326	4940
62	329	4900
63	331	4854
64	333	4791
65	335	4745
66	338	4719
67	342	4687
68	358	4838
69	361	4798
70	363	4754
71	366	4717
72	367	4663
73	369	4627
74	375	4633
75	377	4588
76	378	4541
77	380	4493
78	381	4451
79	401	4616
80	402	4567
81	403	4519
82	422	4663
83	423	4618
84	424	4570
85	426	4533
86	428	4498
87	431	4474
88	433	4433
89	434	4390
90	435	4354
91	438	4327
92	447	4367
93	450	4341
94	451	4305
95	454	4276
96	457	4255
97	459	4233
98	463	4215
99	466	4195
100	468	4167
101	470	4141
102	472	4111
103	472	4074
104	475	4050
105	476	4020
106	479	4001
107	482	3984
108	483	3951
109	484	3920
11111	502	3988
112	504	3957
113	506	3937
114	509	3923
115	513	3909
116	524	3956
117	526	3932
118	527	3905
119	529	3883
120	532	3869
121	534	3848
122	538	3839
123	562	3973
124	565	3956
125	568	3940
126	606	4166
127	607	4141
128	610	4123
129	612	4098
130	615	4082
131	631	4155
132	634	4133
133	635	4108
134	637	4086
135	639	4063
136	641	4039
137	644	4023
138	646	4007
139	650	3994
140	651	3971
141	669	4046
142	671	4022
143	672	3998
144	673	3973
145	675	3950
146	677	3929
147	681	3922
148	682	3899
149	684	3877
150	686	3862
151	691	3860
152	693	3838
153	698	3836
154	714	3896
155	716	3875
156	717	3853
157	719	3832
158	720	3809
159	726	3158	160	729	3159	161	769	3978
162	771	3961
163	773	3940
164	777	3935
165	793	3985
166	796	3974
167	801	3968
168	804	3956
169	844	4123
170	846	4104
171	848	4085
172	851	4070
173	853	4051
174	855	4033
175	857	4014
176	859	3995
177	860	3972
178	861	3952
179	864	3939
180	865	3917
181	867	3897
182	868	3875
183	869	3855
184	887	3910
185	889	3891
186	896	3897
187	897	3876
188	898	3855
189	899	3836
190	913	3869
191	914	3849
192	917	3835
193	920	3825
194	947	3911
195	948	3892
196	953	3886
197	954	3865
198	956	3848
199	956	3827
200	959	3813
201	969	3830
202	970	3809
203	972	3794
204	975	3784
205	978	3772
206	981	3760
207	1011	3851
208	1012	3833
209	1015	3819
210	1033	3865
211	1036	3851
212	1038	3838
213	1040	3820
214	1041	3802
215	1042	3784
216	1046	3775
217	1058	3797
218	1060	3781
219	1063	3768
220	1064	3753
221	1070	3752
222	1073	3740
223	1074	3722
224	1107	3814
225	1110	3801
226	1112	3788
227	1114	3773
228	1115	3755
229	1117	3742
230	1122	3737
231	1126	3729
232	1130	3721
233	1131	3703
234	1132	3686
235	1133	3670
236	1135	3656
237	1136	3640
238	1139	3626
239	1141	3615
240	1143	3601
241	1145	3586
242	1148	3577
243	1149	3562
244	1150	3545
245	1151	3529
246	1152	3512
247	1153	3496
248	1154	3481
2248	1151	34712249	1159	3477251	1173	3482
252	1174	3466
253	1174	3450
254	1175	3435
255	1176	3419
256	1177	3404
257	1178	3389
258	1180	3376
2258	1188	34012259	1206	34332260	1208	34202261	1212	34152262	1218	3414264	1224	3396
265	1235	3410
266	1237	3397
2266	1234	3389268	1242	3375
269	1245	3366
270	1247	3355
271	1260	3374
272	1262	3361
273	1263	3348
274	1264	3334
275	1268	3326
276	1269	3314
277	1271	3300
278	1272	3287
279	1273	3274
280	1274	3260
281	1275	3247
282	1278	3238
283	1279	3225
284	1280	3213
285	1282	3200
286	1283	3189
287	1288	3184
288	1290	3174
289	1294	3168
290	1295	3156
291	1297	3146
292	1311	3163
293	1312	3152
294	1314	3140
295	1315	3127
296	1327	3143
297	1329	3130
298	1330	3120
